Figure number and title,Panel,Version,Script name,Script path,Working directory,Purpose,Exact command,Input files,Input tables,Intermediate data,Parameters and filters,Random seed,Dependencies,Output files,Output directory,Relation to other scripts,Relation to application,Execution order,Execution status
Supplementary Figure 20: SupplementaryFigure20_GTDB_order_combined_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure20_GTDB_order_combined_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure20_GTDB_order_combined_bold.png; outputs/final_publication_figures/SupplementaryFigure20_GTDB_order_combined_bold.pdf; outputs/final_publication_figures/SupplementaryFigure20_GTDB_order_combined_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 21: SupplementaryFigure21_GTDB_order_metagenomics_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure21_GTDB_order_metagenomics_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure21_GTDB_order_metagenomics_bold.png; outputs/final_publication_figures/SupplementaryFigure21_GTDB_order_metagenomics_bold.pdf; outputs/final_publication_figures/SupplementaryFigure21_GTDB_order_metagenomics_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 22: SupplementaryFigure22_GTDB_order_metatranscriptomics_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure22_GTDB_order_metatranscriptomics_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.png; outputs/final_publication_figures/SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.pdf; outputs/final_publication_figures/SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 23: SupplementaryFigure23_GTDB_family_combined_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure23_GTDB_family_combined_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure23_GTDB_family_combined_bold.png; outputs/final_publication_figures/SupplementaryFigure23_GTDB_family_combined_bold.pdf; outputs/final_publication_figures/SupplementaryFigure23_GTDB_family_combined_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 24: SupplementaryFigure24_GTDB_family_metagenomics_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure24_GTDB_family_metagenomics_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure24_GTDB_family_metagenomics_bold.png; outputs/final_publication_figures/SupplementaryFigure24_GTDB_family_metagenomics_bold.pdf; outputs/final_publication_figures/SupplementaryFigure24_GTDB_family_metagenomics_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 25: SupplementaryFigure25_GTDB_family_metatranscriptomics_bold,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure25_GTDB_family_metatranscriptomics_bold from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.png; outputs/final_publication_figures/SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.pdf; outputs/final_publication_figures/SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 26: SupplementaryFigure26_taxonomic_overlap_phylum_original,Complete figure,Original/final,generate_core_taxonomy_overlap_figure.py,scripts/generate_core_taxonomy_overlap_figure.py,CangaMetaG_App_Final/,Generate SupplementaryFigure26_taxonomic_overlap_phylum_original from the documented packaged study inputs.,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure26_taxonomic_overlap_phylum_original.png; outputs/final_publication_figures/SupplementaryFigure26_taxonomic_overlap_phylum_original.pdf; outputs/final_publication_figures/SupplementaryFigure26_taxonomic_overlap_phylum_original.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 26; Supplementary Figure 27; Supplementary Figure 28,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 27: SupplementaryFigure27_taxonomic_overlap_order_original,Complete figure,Original/final,generate_core_taxonomy_overlap_figure.py,scripts/generate_core_taxonomy_overlap_figure.py,CangaMetaG_App_Final/,Generate SupplementaryFigure27_taxonomic_overlap_order_original from the documented packaged study inputs.,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure27_taxonomic_overlap_order_original.png; outputs/final_publication_figures/SupplementaryFigure27_taxonomic_overlap_order_original.pdf; outputs/final_publication_figures/SupplementaryFigure27_taxonomic_overlap_order_original.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 26; Supplementary Figure 27; Supplementary Figure 28,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 28: SupplementaryFigure28_taxonomic_overlap_family_original,Complete figure,Original/final,generate_core_taxonomy_overlap_figure.py,scripts/generate_core_taxonomy_overlap_figure.py,CangaMetaG_App_Final/,Generate SupplementaryFigure28_taxonomic_overlap_family_original from the documented packaged study inputs.,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure28_taxonomic_overlap_family_original.png; outputs/final_publication_figures/SupplementaryFigure28_taxonomic_overlap_family_original.pdf; outputs/final_publication_figures/SupplementaryFigure28_taxonomic_overlap_family_original.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 26; Supplementary Figure 27; Supplementary Figure 28,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 29: SupplementaryFigure29_complete_computational_workflow,Complete figure,Original/final,generate_atlas_workflow_figure.py,scripts/generate_atlas_workflow_figure.py,CangaMetaG_App_Final/,Generate SupplementaryFigure29_complete_computational_workflow from the documented packaged study inputs.,python scripts/generate_atlas_workflow_figure.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure29_complete_computational_workflow.png; outputs/final_publication_figures/SupplementaryFigure29_complete_computational_workflow.pdf; outputs/final_publication_figures/SupplementaryFigure29_complete_computational_workflow.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 29,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 30: SupplementaryFigure30_verified_coordinates_original,Complete figure,Original/final,generate_amazon_coordinate_figure.py,scripts/generate_amazon_coordinate_figure.py,CangaMetaG_App_Final/,Generate SupplementaryFigure30_verified_coordinates_original from the documented packaged study inputs.,python scripts/generate_amazon_coordinate_figure.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure30_verified_coordinates_original.png; outputs/final_publication_figures/SupplementaryFigure30_verified_coordinates_original.pdf; outputs/final_publication_figures/SupplementaryFigure30_verified_coordinates_original.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 1; Supplementary Figure 30,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 31A: SupplementaryFigure31A_common_taxa_phylum_heatmap,Complete figure,Original/final,generate_s31_taxonomic_levels_revision3.py,scripts/figures/generate_s31_taxonomic_levels_revision3.py,CangaMetaG_App_Final/,Generate SupplementaryFigure31A_common_taxa_phylum_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,outputs/final_publication_audit_tables/source_SupplementaryFigure14_GTDB_phylum_combined_bold.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure31A_common_taxa_phylum_heatmap.png; outputs/final_publication_figures/SupplementaryFigure31A_common_taxa_phylum_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure31A_common_taxa_phylum_heatmap.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 31A; Supplementary Figure 31B; Supplementary Figure 31C,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 31B: SupplementaryFigure31B_common_taxa_order_heatmap,Complete figure,Original/final,generate_s31_taxonomic_levels_revision3.py,scripts/figures/generate_s31_taxonomic_levels_revision3.py,CangaMetaG_App_Final/,Generate SupplementaryFigure31B_common_taxa_order_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,outputs/final_publication_audit_tables/source_SupplementaryFigure20_GTDB_order_combined_bold.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure31B_common_taxa_order_heatmap.png; outputs/final_publication_figures/SupplementaryFigure31B_common_taxa_order_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure31B_common_taxa_order_heatmap.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 31A; Supplementary Figure 31B; Supplementary Figure 31C,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 31C: SupplementaryFigure31C_common_taxa_family_heatmap,Complete figure,Original/final,generate_s31_taxonomic_levels_revision3.py,scripts/figures/generate_s31_taxonomic_levels_revision3.py,CangaMetaG_App_Final/,Generate SupplementaryFigure31C_common_taxa_family_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,outputs/final_publication_audit_tables/source_SupplementaryFigure23_GTDB_family_combined_bold.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure31C_common_taxa_family_heatmap.png; outputs/final_publication_figures/SupplementaryFigure31C_common_taxa_family_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure31C_common_taxa_family_heatmap.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 31A; Supplementary Figure 31B; Supplementary Figure 31C,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 32: SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,P001,Original/final,generate_s31_s32.py,scripts/figures/generate_s31_s32.py,CangaMetaG_App_Final/,Generate SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P001.png; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P001.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 32,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 32: SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,P002,Original/final,generate_s31_s32.py,scripts/figures/generate_s31_s32.py,CangaMetaG_App_Final/,Generate SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P002.png; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P002.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 32,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,2,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 32: SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,P003,Original/final,generate_s31_s32.py,scripts/figures/generate_s31_s32.py,CangaMetaG_App_Final/,Generate SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P003.png; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P003.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 3 within this figure. The script also generates: Supplementary Figure 32,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,3,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 32: SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,P004,Original/final,generate_s31_s32.py,scripts/figures/generate_s31_s32.py,CangaMetaG_App_Final/,Generate SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P004.png; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P004.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 4 within this figure. The script also generates: Supplementary Figure 32,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,4,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 32: SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,P005,Original/final,generate_s31_s32.py,scripts/figures/generate_s31_s32.py,CangaMetaG_App_Final/,Generate SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap from the documented packaged study inputs.,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P005.png; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P005.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 5 within this figure. The script also generates: Supplementary Figure 32,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,5,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
